ProblemID,ProblemName,Difficulty,Prompt,Model,InputMode,EvalMethod,Compiled,PublicPassed,HiddenPassed,GenTime_s,ErrorMsg,GeneratedCode
E05,number-of-senior-citizens,Easy,P2,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,3.15,want='2' got='',"import sys

def count_senior_citizens():
    details = sys.stdin.read().strip().split()
    senior_citizens = 0
    for detail in details:
        age = int(detail[11:13])
        if age > 60:
            senior_citizens += 1
    return senior_citizens

print(count_senior_citizens())"
E05,number-of-senior-citizens,Easy,P3,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,1.87,want='2' got='',"import sys

def main():
    details = sys.stdin.read().strip().splitlines()
    count = 0
    for passenger in details:
        age = int(passenger[11:13])
        if age > 60:
            count += 1
    print(count)

if __name__ == ""__main__"":
    main()"
E06,buy-two-chocolates,Easy,P1,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,2.03,want='0' got='',"import sys

prices = list(map(int, input().split()))
money = int(input())

prices.sort()
if prices[0] + prices[1] <= money:
    print(money - prices[0] - prices[1])
else:
    print(money)"
E06,buy-two-chocolates,Easy,P2,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,1.51,want='0' got='',"import sys

prices = list(map(int, input().split()))
money = int(input())

prices.sort()
if prices[0] + prices[1] <= money:
    print(money - prices[0] - prices[1])
else:
    print(money)"
E06,buy-two-chocolates,Easy,P3,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,2.02,want='0' got='',"import sys

prices = list(map(int, input().split()))
money = int(input())

prices.sort()

if prices[0] + prices[1] <= money:
    print(money - prices[0] - prices[1])
else:
    print(money)"
E07,find-the-distinct-difference-array,Easy,P1,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,2.14,"want='[-3, -1, 1, 3, 5]' got=''","import sys

def main():
    nums = list(map(int, input().split()))
    n = len(nums)
    diff = []

    for i in range(n):
        prefix = set(nums[:i+1])
        suffix = set(nums[i+1:])
        diff.append(len(prefix) - len(suffix))

    print(*diff)

if __name__ == ""__main__"":
    main()"
E07,find-the-distinct-difference-array,Easy,P2,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,7.16,"want='[-3, -1, 1, 3, 5]' got=''","import sys

def main():
    nums = list(map(int, input().split()))
    n = len(nums)
    diff = []

    for i in range(n):
        prefix = set(nums[:i+1])
        suffix = set(nums[i+1:])
        diff.append(len(prefix) - len(suffix))

    print(*diff)

if __name__ == ""__main__"":
    main()"
E07,find-the-distinct-difference-array,Easy,P3,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,14.32,"want='[-3, -1, 1, 3, 5]' got=''","import sys

def main():
    nums = list(map(int, input().split()))
    n = len(nums)
    diff = []

    for i in range(n):
        prefix = set(nums[:i+1])
        suffix = set(nums[i+1:])
        diff.append(len(prefix) - len(suffix))

    print(*diff)

if __name__ == ""__main__"":
    main()"
E08,semi-ordered-permutation,Easy,P1,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,3.54,want='2' got='',"import sys

def min_swaps(nums):
    n = len(nums)
    swaps = 0
    i = 0
    while i < n:
        if nums[i] == i + 1:
            i += 1
        else:
            j = nums.index(i + 1)
            nums[i:j+1] = reversed(nums[i:j+1])
            swaps += j - i
    return swaps

nums = list(map(int, input().split()))
print(min_swaps(nums))"
E08,semi-ordered-permutation,Easy,P2,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,1,1,2.43,,
E08,semi-ordered-permutation,Easy,P3,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,8.69,want='2' got='',"import sys

def calculate_distance(nums, target):
    distance = 0
    for i in range(len(nums)):
        if nums[i]!= target[i]:
            distance += 1
    return distance

def main():
    nums = list(map(int, input().split()))
    n = len(nums)
    target = list(range(1, n + 1))
    print(calculate_distance(nums, target))

if __name__ == ""__main__"":
    main()"
E09,find-the-losers-of-the-circular-game,Easy,P1,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,1,1,6.91,,
E09,find-the-losers-of-the-circular-game,Easy,P2,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,8.39,"want='[4, 5]' got='4 5'","import sys

n = int(input())
k = int(input())

visited = [False] * (n + 1)
current = 1
visited[current] = True
step = 1

while True:
    next_index = (current + step * k - 1) % n + 1
    if visited[next_index]:
        break
    visited[next_index] = True
    current = next_index
    step += 1

losers = [i for i in range(1, n + 1) if not visited[i]]
print(*losers)"
E09,find-the-losers-of-the-circular-game,Easy,P3,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,7.94,"want='[4, 5]' got='4 5'","import sys

n = int(input())
k = int(input())

visited = [False] * (n + 1)
current = 1
visited[1] = True

for i in range(1, n + 1):
    next_index = (current + i * k - 1) % n + 1
    if visited[next_index]:
        break
    visited[next_index] = True
    current = next_index

losers = [i for i in range(1, n + 1) if not visited[i]]
print(*losers)"
E10,minimum-string-length-after-removing-substrings,Easy,P1,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,3.12,want='2' got='4',"import sys

def min_length(s):
    stack = []
    for char in s:
        if stack and ((stack[-1] == 'A' and char == 'B') or (stack[-1] == 'C' and char == 'D')):
            stack.pop()
        else:
            stack.append(char)
    return len(stack)

s = input()
print(min_length(s))"
E10,minimum-string-length-after-removing-substrings,Easy,P2,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,3.91,want='2' got='4',"import sys

def min_length(s):
    stack = []
    for char in s:
        if stack and ((stack[-1] == 'A' and char == 'B') or (stack[-1] == 'C' and char == 'D')):
            stack.pop()
        else:
            stack.append(char)
    return len(stack)

s = input()
print(min_length(s))"
E10,minimum-string-length-after-removing-substrings,Easy,P3,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,3.36,want='2' got='4',"import sys

def min_length(s):
    stack = []
    for char in s:
        if stack and ((stack[-1] == 'A' and char == 'B') or (stack[-1] == 'C' and char == 'D')):
            stack.pop()
        else:
            stack.append(char)
    return len(stack)

s = input()
print(min_length(s))"
E11,find-the-maximum-achievable-number,Easy,P1,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,0.92,want='6' got='5',"num = int(input())
t = int(input())
print(num + t)"
E11,find-the-maximum-achievable-number,Easy,P2,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,1.84,want='6' got='5',"num = int(input())
t = int(input())
print(num + t)"
E11,find-the-maximum-achievable-number,Easy,P3,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,0.99,want='6' got='5',"num = int(input())
t = int(input())
print(num + t)"
E12,lexicographically-smallest-palindrome,Easy,P1,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,1,1,7.16,,
E12,lexicographically-smallest-palindrome,Easy,P2,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,1,1,5.27,,
E12,lexicographically-smallest-palindrome,Easy,P3,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,52.78,"want='""efcfe""' got='""efafe""'","def main():
    s = input()
    n = len(s)
    result = list(s)

    for i in range(n // 2):
        if s[i] == s[n - i - 1]:
            continue
        if s[i] < s[n - i - 1]:
            result[n - i - 1] = s[i]
        else:
            result[i] = s[n - i - 1]

    if n % 2 == 1 and result[n // 2] > 'a':
        result[n // 2] = 'a'

    print(''.join(result))

if __name__ == ""__main__"":
    main()"
E13,remove-trailing-zeros-from-a-string,Easy,P1,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,3.19,"want='""512301""' got='""51230100""'","import sys

num = input().rstrip('0')
print(num)"
E13,remove-trailing-zeros-from-a-string,Easy,P2,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,20.59,"want='""512301""' got='""51230100""'","import sys

num = input().rstrip('0')
print(num)"
E13,remove-trailing-zeros-from-a-string,Easy,P3,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,1.08,"want='""512301""' got='""51230100""'","import sys

num = input().rstrip('0')
print(num if num else '0')"
E14,check-if-the-number-is-fascinating,Easy,P1,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,1,1,3.2,,
E14,check-if-the-number-is-fascinating,Easy,P2,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,1,1,3.35,,
E14,check-if-the-number-is-fascinating,Easy,P3,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,1,1,3.23,,
E15,minimize-string-length,Easy,P1,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,6.14,want='3' got='2',"from collections import defaultdict

def minimize_string_length(s):
    char_count = defaultdict(int)
    for char in s:
        char_count[char] += 1

    length = 0
    for count in char_count.values():
        length += count % 2

    return length

s = input()
print(minimize_string_length(s))"
E15,minimize-string-length,Easy,P2,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,3.66,want='3' got='5',"from collections import deque

def minimize_string_length(s):
    stack = deque()
    for char in s:
        if stack and stack[-1] == char:
            stack.pop()
        else:
            stack.append(char)
    return len(stack)

s = input()
print(minimize_string_length(s))"
E15,minimize-string-length,Easy,P3,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,4.72,want='3' got='5',"from collections import defaultdict

def minimize_string_length(s):
    char_count = defaultdict(int)
    for char in s:
        char_count[char] += 1

    stack = []
    for char in s:
        if stack and stack[-1] == char:
            stack.pop()
        else:
            stack.append(char)

    return len(stack)

s = input()
print(minimize_string_length(s))"
E16,number-of-beautiful-pairs,Easy,P1,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,3.12,want='5' got='',"import math

def gcd(a, b):
    while b:
        a, b = b, a % b
    return a

nums = list(map(int, input().split()))
count = 0

for i in range(len(nums)):
    for j in range(i + 1, len(nums)):
        if gcd(int(str(nums[i])[0]), int(str(nums[j])[-1])) == 1:
            count += 1

print(count)"
E16,number-of-beautiful-pairs,Easy,P2,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,3.46,want='5' got='',"import math

def gcd(a, b):
    while b:
        a, b = b, a % b
    return a

nums = list(map(int, input().split()))

count = 0
for i in range(len(nums)):
    for j in range(i + 1, len(nums)):
        if gcd(int(str(nums[i])[0]), int(str(nums[j])[-1])) == 1:
            count += 1

print(count)"
E16,number-of-beautiful-pairs,Easy,P3,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,3.06,want='5' got='',"import math

def gcd(a, b):
    while b:
        a, b = b, a % b
    return a

nums = list(map(int, input().split()))

count = 0
for i in range(len(nums)):
    for j in range(i + 1, len(nums)):
        if gcd(int(str(nums[i])[0]), int(str(nums[j])[-1])) == 1:
            count += 1

print(count)"
E17,sum-of-squares-of-special-elements,Easy,P1,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,4.42,want='21' got='',"import sys

def main():
    nums = list(map(int, input().split()))
    n = len(nums)
    total = sum([nums[i-1]**2 for i in range(1, n+1) if n % i == 0])
    print(total)

if __name__ == ""__main__"":
    main()"
E17,sum-of-squares-of-special-elements,Easy,P2,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,1,1,3.54,,
E17,sum-of-squares-of-special-elements,Easy,P3,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,3.24,want='21' got='',"import sys

def main():
    nums = list(map(int, input().split()))
    n = len(nums)
    total = 0
    for i in range(1, n + 1):
        if n % i == 0:
            total += nums[i - 1] ** 2
    print(total)

if __name__ == ""__main__"":
    main()"
E18,find-maximum-number-of-string-pairs,Easy,P1,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,8.13,want='2' got='0',"import sys

def find_max_pairs(words):
    pairs = 0
    used = [False] * len(words)
    for i in range(len(words)):
        if used[i]:
            continue
        for j in range(i + 1, len(words)):
            if used[j]:
                continue
            if words[i] == words[j][::-1]:
                pairs += 1
                used[i] = True
                used[j] = True
                break
    return pairs

words = input().strip().split(',')
print(find_max_pairs(words))"
E18,find-maximum-number-of-string-pairs,Easy,P2,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,3.89,want='2' got='0',"from collections import Counter

words = input().split()
word_count = Counter(words)
pairs = 0

for word in list(word_count):
    reversed_word = word[::-1]
    if reversed_word in word_count and word_count[word] > 0 and word_count[reversed_word] > 0:
        pairs += 1
        word_count[word] -= 1
        word_count[reversed_word] -= 1

print(pairs)"
E18,find-maximum-number-of-string-pairs,Easy,P3,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,23.61,want='2' got='0',"import sys

def main():
    words = input().split()
    pairs = 0
    used = [False] * len(words)

    for i in range(len(words)):
        if used[i]:
            continue
        for j in range(i + 1, len(words)):
            if used[j]:
                continue
            if words[i] == words[j][::-1]:
                pairs += 1
                used[i] = True
                used[j] = True
                break

    print(pairs)

if __name__ == ""__main__"":
    main()"
E19,total-distance-traveled,Easy,P1,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,1,1,3.68,,
E19,total-distance-traveled,Easy,P2,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,1,1,3.11,,
E19,total-distance-traveled,Easy,P3,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,1,1,2.71,,
E20,longest-even-odd-subarray-with-threshold,Easy,P1,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,4.4,want='3' got='',"import sys

def main():
    nums = list(map(int, input().split()))
    threshold = int(input())

    max_length = 0
    for l in range(len(nums)):
        if nums[l] % 2 == 0:
            for r in range(l, len(nums)):
                if all(nums[i] % 2 != nums[i + 1] % 2 for i in range(l, r)) and all(nums[i] <= threshold for i in range(l, r + 1)):
                    max_length = max(max_length, r - l + 1)
    print(max_length)

if __name__ == ""__main__"":
    main()"
E20,longest-even-odd-subarray-with-threshold,Easy,P2,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,15.15,want='3' got='',"import sys

def main():
    nums = list(map(int, input().split()))
    threshold = int(input())

    max_length = 0
    for l in range(len(nums)):
        if nums[l] % 2 == 0:
            for r in range(l, len(nums)):
                if all(nums[i] % 2 != nums[i + 1] % 2 for i in range(l, r)) and all(nums[i] <= threshold for i in range(l, r + 1)):
                    max_length = max(max_length, r - l + 1)
    print(max_length)

if __name__ == ""__main__"":
    main()"
E20,longest-even-odd-subarray-with-threshold,Easy,P3,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,4.44,want='3' got='',"import sys

def main():
    nums = list(map(int, input().split()))
    threshold = int(input())

    max_length = 0
    for l in range(len(nums)):
        if nums[l] % 2 == 0:
            for r in range(l, len(nums)):
                if all(nums[i] % 2 != nums[i + 1] % 2 for i in range(l, r)) and all(nums[i] <= threshold for i in range(l, r + 1)):
                    max_length = max(max_length, r - l + 1)
    print(max_length)

if __name__ == ""__main__"":
    main()"
E21,longest-alternating-subarray,Easy,P1,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,11.36,want='4' got='',"import sys

def find_longest_alternating_subarray(nums):
    max_length = -1
    for i in range(len(nums)):
        for j in range(i + 2, len(nums) + 1):
            subarray = nums[i:j]
            if is_alternating(subarray):
                max_length = max(max_length, len(subarray))
    return max_length

def is_alternating(subarray):
    if len(subarray) < 2:
        return False
    diff = subarray[1] - subarray[0]
    if diff != 1:
        return False
    for i in range(2, len(subarray)):
        new_diff = subarray[i] - subarray[i - 1]
        if new_diff != -diff:
            return False
        diff = new_diff
    return True

nums = list(map(int, input().split()))
print(find_longest_alternating_subarray(nums))"
E21,longest-alternating-subarray,Easy,P2,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,8.2,want='4' got='',"import sys

def main():
    nums = list(map(int, input().split(',')))
    max_length = -1

    for i in range(len(nums)):
        for j in range(i + 2, len(nums) + 1):
            subarray = nums[i:j]
            if is_alternating(subarray):
                max_length = max(max_length, len(subarray))

    print(max_length)


def is_alternating(subarray):
    if len(subarray) < 2:
        return False

    diff = subarray[1] - subarray[0]
    if diff != 1 and diff != -1:
        return False

    for i in range(2, len(subarray)):
        new_diff = subarray[i] - subarray[i - 1]
        if new_diff != -diff:
            return False
        diff = new_diff

    return True


if __name__ == ""__main__"":
    main()"
E21,longest-alternating-subarray,Easy,P3,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,14.82,want='4' got='',"import sys

def main():
    nums = list(map(int, input().split()))
    max_length = -1

    for i in range(len(nums)):
        for j in range(i + 2, len(nums) + 1):
            subarray = nums[i:j]
            if is_alternating(subarray):
                max_length = max(max_length, len(subarray))

    print(max_length)

def is_alternating(subarray):
    if len(subarray) < 2:
        return False

    diff = subarray[1] - subarray[0]
    if diff!= 1 and diff!= -1:
        return False

    for i in range(2, len(subarray)):
        new_diff = subarray[i] - subarray[i - 1]
        if new_diff!= -diff:
            return False
        diff = new_diff

    return True

if __name__ == ""__main__"":
    main()"
E22,number-of-employees-who-met-the-target,Easy,P1,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,4.71,want='3' got='',"import sys

hours = list(map(int, input().split()))
target = int(input())

count = sum(1 for hour in hours if hour >= target)

print(count)"
E22,number-of-employees-who-met-the-target,Easy,P2,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,2.9,want='3' got='',"import sys

hours = list(map(int, input().strip().split()))
target = int(input().strip())

count = sum(1 for hour in hours if hour >= target)
print(count)"
E22,number-of-employees-who-met-the-target,Easy,P3,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,14.05,want='3' got='',"import sys

hours = list(map(int, input().split()))
target = int(input())

count = sum(1 for hour in hours if hour >= target)

print(count)"
E23,split-strings-by-separator,Easy,P1,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,1,1,3.35,,
E23,split-strings-by-separator,Easy,P2,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,1.57,"want='[""one"", ""two"", ""three"", ""four"", ""five"", ""six""]' got='['""one', 'two', 'three""', '""four', 'five""', '""six""'","import sys

words = input().strip()[1:-1].split(', ')
separator = input().strip()[1:-1]

result = []
for word in words:
    result.extend([s for s in word.split(separator) if s])

print(result)"
E23,split-strings-by-separator,Easy,P3,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,1,1,3.07,,
E24,faulty-keyboard,Easy,P1,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,2.39,"want='""rtsng""' got='rts""ng""'","s = input()
result = """"
for char in s:
    if char == 'i':
        result = result[::-1]
    else:
        result += char
print(result)"
E24,faulty-keyboard,Easy,P2,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,2.26,"want='""rtsng""' got='rts""ng""'","s = input()
result = """"
for char in s:
    if char == 'i':
        result = result[::-1]
    else:
        result += char
print(result)"
E24,faulty-keyboard,Easy,P3,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,1.14,"want='""rtsng""' got='rts""ng""'","s = input()
result = """"
for char in s:
    if char == 'i':
        result = result[::-1]
    else:
        result += char
print(result)"
E25,check-if-array-is-good,Easy,P1,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,1,1,21.99,,
E25,check-if-array-is-good,Easy,P2,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,1,1,8.62,,
E25,check-if-array-is-good,Easy,P3,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,4.96,want='false' got='',"import sys

def main():
    nums = list(map(int, input().split()))
    n = max(nums)
    if len(nums) != n + 1:
        print(False)
        return
    count = {}
    for num in nums:
        if num in count:
            count[num] += 1
        else:
            count[num] = 1
    for i in range(1, n):
        if i not in count or count[i] != 1:
            print(False)
            return
    if n not in count or count[n] != 2:
        print(False)
        return
    print(True)

if __name__ == ""__main__"":
    main()"
E26,max-pair-sum-in-an-array,Easy,P1,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,1,1,3.51,,
E26,max-pair-sum-in-an-array,Easy,P2,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,2.74,want='88' got='',"import sys

def max_digit(n):
    return max(int(digit) for digit in str(n))

nums = list(map(int, input().split()))
max_sum = -1

for i in range(len(nums)):
    for j in range(i + 1, len(nums)):
        if max_digit(nums[i]) == max_digit(nums[j]):
            max_sum = max(max_sum, nums[i] + nums[j])

print(max_sum)"
E26,max-pair-sum-in-an-array,Easy,P3,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,11.0,want='88' got='',"import sys

def max_digit(n):
    return max(int(digit) for digit in str(n))

nums = list(map(int, input().split()))

max_sum = -1
for i in range(len(nums)):
    for j in range(i + 1, len(nums)):
        if max_digit(nums[i]) == max_digit(nums[j]):
            max_sum = max(max_sum, nums[i] + nums[j])

print(max_sum)"
E27,count-pairs-whose-sum-is-less-than-target,Easy,P1,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,1,1,3.36,,
E27,count-pairs-whose-sum-is-less-than-target,Easy,P2,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,1,1,3.03,,
E27,count-pairs-whose-sum-is-less-than-target,Easy,P3,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,27.71,want='3' got='',"import sys

def main():
    nums = list(map(int, input().split()))
    target = int(input())
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] + nums[j] < target:
                count += 1
    print(count)

if __name__ == ""__main__"":
    main()"
E28,account-balance-after-rounded-purchase,Easy,P1,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,1,1,2.88,,
E28,account-balance-after-rounded-purchase,Easy,P2,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,1.67,want='80' got='90',"import sys

purchaseAmount = int(input())

roundedAmount = (purchaseAmount + 4) // 10 * 10
accountBalance = 100 - roundedAmount

print(accountBalance)"
E28,account-balance-after-rounded-purchase,Easy,P3,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,1,1,1.05,,
E29,check-if-a-string-is-an-acronym-of-words,Easy,P1,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,1,1,2.63,,
E29,check-if-a-string-is-an-acronym-of-words,Easy,P2,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,4.33,want='true' got='False',"import sys

words = input().strip().split()
s = input().strip()

acronym = ''.join(word[0] for word in words)

print(acronym == s)"
E29,check-if-a-string-is-an-acronym-of-words,Easy,P3,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,3.04,want='true' got='False',"import sys

words = input().strip().split()
s = input().strip()

acronym = ''.join(word[0] for word in words)

print(acronym == s)"
E30,count-symmetric-integers,Easy,P1,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,1,1,8.53,,
E30,count-symmetric-integers,Easy,P2,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,1,1,7.47,,
E30,count-symmetric-integers,Easy,P3,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,1,1,26.12,,
E31,check-if-strings-can-be-made-equal-with-operations-i,Easy,P1,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,2.72,want='false' got='True',"from collections import Counter

s1 = input()
s2 = input()

print(Counter(s1) == Counter(s2) and (s1[0] == s2[0] or s1[1] == s2[1] or s1[2] == s2[2] or s1[3] == s2[3]))"
E31,check-if-strings-can-be-made-equal-with-operations-i,Easy,P2,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,20.23,want='false' got='True',"from collections import Counter

s1 = input()
s2 = input()

print(Counter(s1) == Counter(s2) and (s1[0] == s2[0] or s1[1] == s2[1] or s1[2] == s2[2] or s1[3] == s2[3]))"
E31,check-if-strings-can-be-made-equal-with-operations-i,Easy,P3,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,34.35,want='true' got='False',"from collections import Counter

s1 = input()
s2 = input()

print(Counter(s1) == Counter(s2) and (s1[0] == s2[0] and s1[3] == s2[3] or s1[0] == s2[2] and s1[3] == s2[1] or s1[0] == s2[1] and s1[3] == s2[2]))"
E32,furthest-point-from-origin,Easy,P1,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,3.58,want='3' got='5',"import sys

moves = input().strip()

left = moves.count('L')
right = moves.count('R')
wildcard = moves.count('_')

print(max(left + wildcard, right + wildcard))"
E32,furthest-point-from-origin,Easy,P2,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,34.87,want='3' got='5',"import sys

moves = input().strip()

def calculate_distance(moves):
    max_distance = 0
    for i in range(2**moves.count('_')):
        binary_string = bin(i)[2:].zfill(moves.count('_'))
        modified_moves = list(moves)
        underscore_index = 0
        for j in range(len(modified_moves)):
            if modified_moves[j] == '_':
                modified_moves[j] = 'R' if binary_string[underscore_index] == '1' else 'L'
                underscore_index += 1
        position = 0
        for move in modified_moves:
            if move == 'R':
                position += 1
            else:
                position -= 1
        max_distance = max(max_distance, abs(position))
    return max_distance

print(calculate_distance(moves))"
E32,furthest-point-from-origin,Easy,P3,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,1,1,15.14,,
